last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,address,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id
Murphy,Patrick,,,,Patrick Murphy,1983-03-30,M,rep,FL,18,,Democrat,211 Cannon HOB; Washington DC 20515-0918,M001191,2117,N00033091,,H2FL22072,95348,412527
Schock,Aaron,,,,Aaron Schock,1981-05-28,M,rep,IL,18,,Republican,2464 Rayburn HOB; Washington DC 20515-1318,S001179,1920,N00029273,,H8IL18043,1030003,412314
DeSantis,Ron,,,,Ron DeSantis,1978-09-14,M,rep,FL,6,,Republican,1524 Longworth House Office Building; Washington DC 20515-0906,D000621,2116,N00034746,,H2FL00292,79744,412526
Quayle,Ben,,,,Benjamin Quayle,1976-11-03,M,rep,AZ,3,,Republican,1419 Longworth HOB; Washington DC 20515-0303,Q000024,1993,N00031723,,H0AZ03362,,412398
Stutzman,Marlin,A.,,,Marlin A. Stutzman,1976-08-31,M,rep,IN,3,,Republican,2418 Rayburn HOB; Washington DC 20515-1403,S001188,1981,N00030891,,"H0IN03198,S0IN00095",9267685,412392
Radel,Trey,,,,Trey Radel,1976-04-20,M,rep,FL,19,,Republican,1123 Longworth HOB; Washington DC 20515-0919,R000596,2118,N00034017,,H2FL14194,79974,412528
Bridenstine,Jim,,,,Jim Bridenstine,1975-06-15,M,rep,OK,1,,Republican,216 Cannon House Office Building; Washington DC 20515-3601,B001283,2155,N00033532,,H2OK01143,79705,412567
Perriello,Thomas,S. P.,,,,1974-10-09,M,rep,VA,5,,Democrat,,P000600,1958,N00029339,,H8VA05106,1031364,412304
Nye,Glenn,C.,,,,1974-09-09,M,rep,VA,2,,Democrat,,N000183,1957,N00029784,,H8VA02046,1031363,412301
Putnam,Adam,H.,,,,1974-07-31,M,rep,FL,12,,Republican,,P000586,1645,N00009618,,H0FL12051,87910,400328
Goodwin,Carte,P.,,,,1974-02-27,M,sen,WV,,1,Democrat,,G000561,1980,N00032762,S336,,9266706,412389
McAllister,Vance,,,,Vance M. McAllister,1974-01-07,M,rep,LA,5,,Republican,316 Cannon HOB; Washington DC 20515-1805,M001192,2195,N00035593,,H4LA05130,73009,412599
Runyan,Jon,,,,Jon Runyan,1973-11-27,M,rep,NJ,3,,Republican,1239 Longworth HOB; Washington DC 20515-3003,R000594,2039,N00031988,,H0NJ03153,61904,412449
Murphy,Patrick,J.,,,,1973-10-19,M,rep,PA,8,,Democrat,,M001168,1875,N00027594,,H6PA08194,1021384,412233
Boren,Dan,,,,Dan Boren,1973-08-02,M,rep,OK,2,,Democrat,2447 Rayburn HOB; Washington DC 20515-3602,B001254,1796,N00026481,,H4OK02089,1013053,400645
Horsford,Steven,A.,,,Steven A. Horsford,1973-04-29,M,rep,NV,4,,Democrat,1330 Longworth HOB; Washington DC 20515-2804,H001066,2147,N00033638,,H2NV04011,79614,412559
Fincher,Stephen,Lee,,,Stephen Lee Fincher,1973-02-07,M,rep,TN,8,,Republican,2452 Rayburn HOB; Washington DC 20515-4208,F000458,2064,N00031141,,H0TN08246,9268967,412479
Jolly,David,W.,,,David W. Jolly,1972-10-31,M,rep,FL,13,,Republican,1728 Longworth HOB; Washington DC 20515-0913,J000296,2199,N00035717,,H4FL13101,73783,412603
Shuler,Heath,,,,Heath Shuler,1971-12-31,M,rep,NC,11,,Democrat,229 Cannon HOB; Washington DC 20515-3311,S001171,1859,N00027655,,H6NC11172,1022886,412225
Jindal,Bobby,,,,,1971-06-10,M,rep,LA,1,,Republican,,J000287,1785,N00026786,,H4LA00016,,400634
Landry,Jeff,M.,,,Jeffrey M. Landry,1970-12-23,M,rep,LA,3,,Republican,206 Cannon HOB; Washington DC 20515-1803,L000574,2024,N00031503,,H0LA03141,,412433
Herseth Sandlin,Stephanie,,,,,1970-12-03,F,rep,SD,0,,Democrat,,H001037,1760,N00024773,,H2SD00092,22061,400443
Guinta,Frank,,,,Frank C. Guinta,1970-09-26,M,rep,NH,1,,Republican,326 Cannon HOB; Washington DC 20515-2901,G000570,2038,N00030801,,H0NH01217,,412447
Djou,Charles,,,,,1970-08-09,M,rep,HI,1,,Republican,,D000611,1978,N00029460,,H0HI01157,9267955,412387
Ferguson,Michael,,,Mike,,1970-06-22,M,rep,NJ,7,,Republican,,F000443,1659,N00000766,,H8NJ06118,,400132
Giffords,Gabrielle,,,,,1970-06-08,F,rep,AZ,8,,Democrat,1030 Longworth House Office Building;  20515-0308,G000554,1831,N00027829,,H6AZ08038,1021830,412188
Ford,Harold,E.,Jr.,,,1970-05-11,M,rep,TN,9,,Democrat,,F000262,1483,N00003218,,,,400138
Grimm,Michael,G.,,,Michael G. Grimm,1970-02-07,M,rep,NY,11,,Republican,512 Cannon HOB; Washington DC 20515-3211,G000569,2041,N00031401,,H0NY13074,62667,412451
Murphy,Scott,,,,,1970-01-26,M,rep,NY,20,,Democrat,,M001178,1968,N00030682,,H0NY20079,9263721,412332
Boccieri,John,A.,,,,1969-10-05,M,rep,OH,16,,Democrat,,B001263,1949,N00029161,,H8OH16058,1028316,412266
Dold,Bob,,,,Robert J. Dold,1969-06-23,M,rep,IL,10,,Republican,221 Cannon HOB; Washington DC 20515-1310,D000613,2013,N00031103,,H0IL10302,,412420
Hurt,Robert,,,,Robert Hurt,1969-06-16,M,rep,VA,5,,Republican,125 Cannon HOB; Washington DC 20515-4605,H001060,2069,N00031265,,H0VA05095,623558,412484
LeMieux,George,S.,,,,1969-05-21,M,sen,FL,,3,Republican,,L000572,1971,N00031304,S333,S2FL00227,46456,412380
Cowan,William,,,Mo,William M. Cowan,1969-04-04,M,sen,MA,,2,Democrat,218 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,C001099,2189,N99999896,S367,,69395,412586
Huelskamp,Tim,,,,Tim Huelskamp,1968-11-11,M,rep,KS,1,,Republican,1110 Longworth HOB; Washington DC 20515-1601,H001057,2020,N00027649,,H6KS01146,86444,412429
Griffin,Tim,,,,Tim Griffin,1968-08-21,M,rep,AR,2,,Republican,1232 Longworth HOB; Washington DC 20515-0402,G000567,1990,N00031297,,H0AR02107,1024660,412401
Maffei,Daniel,B.,,,Daniel B. Maffei,1968-07-04,M,rep,NY,24,,Democrat,422 Cannon HOB; Washington DC 20515-3224,M001171,1943,N00027891,,H6NY25125,51904,412297
Ayotte,Kelly,,,,Kelly Ayotte,1968-06-27,F,sen,NH,,3,Republican,144 Russell Senate Office Building Washington DC 20510,A000368,2075,N00030980,S340,S0NH00235,95241,412493
Kratovil,Frank,,Jr.,,,1968-05-29,M,rep,MD,1,,Democrat,,K000371,1926,N00029146,,H8MD01086,1031346,412289
Altmire,Jason,,,,Jason Altmire,1968-03-07,M,rep,PA,4,,Democrat,332 Cannon HOB; Washington DC 20515-3804,A000362,1873,N00027664,,H6PA04110,1022872,412231
Davis,Artur,,,,,1967-10-09,M,rep,AL,7,,Democrat,,D000602,1705,N00009570,,H0AL07060,1002463,400092
Mack,Connie,,IV,,Connie Mack,1967-08-12,M,rep,FL,14,,Republican,115 Cannon HOB; Washington DC 20515-0914,M001155,1776,N00026425,,H4FL14059,1013040,400622
Mulvaney,Mick,,,,Mick Mulvaney,1967-07-21,M,rep,SC,5,,Republican,2350 Rayburn HOB; Washington DC 20515-4005,M001182,2059,N00031412,,H0SC05031,623510,412474
Kennedy,Patrick,Joseph,,,,1967-07-14,M,rep,RI,1,,Democrat,,K000113,627,N00000360,,H4RI01034,17987,400215
Takai,Mark,,,,Mark Takai,1967-07-01,M,rep,HI,1,,Democrat,422 Cannon HOB; Washington DC 20515-1101,T000473,2240,N00035535,,H4HI01134,,412626
Chaffetz,Jason,,,,Jason Chaffetz,1967-03-26,M,rep,UT,3,,Republican,2236 Rayburn HOB; Washington DC 20515-4403,C001076,1956,N00028958,,H8UT03089,1031362,412270
Cao,Anh,,,Joseph,,1967-03-13,M,rep,LA,2,,Republican,,C001079,1923,N00030339,,H8LA02112,1031344,412268
Carson,Brad,,,,,1967-03-11,M,rep,OK,2,,Democrat,,C001044,1665,N00009704,,,,400066
Meek,Kendrick,Brett,,,,1966-09-06,M,rep,FL,17,,Democrat,,M001148,1715,N00025692,,H2FL17056,,400270
Driehaus,Steve,,,,,1966-06-24,M,rep,OH,1,,Democrat,,D000609,1946,N00029211,,H8OH01068,1030610,412274
Tate,Randy,J.,,,,1965-11-23,M,rep,WA,9,,Republican,,T000048,1138,,,,,410636
Southerland,Steve,,,,Steve Southerland II,1965-10-10,M,rep,FL,2,,Republican,1229 Longworth HOB; Washington DC 20515-0902,S001186,2000,N00031204,,H0FL02110,61775,412408
Rivera,David,,,,David Rivera,1965-09-16,M,rep,FL,25,,Republican,417 Cannon HOB; Washington DC 20515-0925,R000590,2007,N00031887,,H0FL25038,,412415
McCotter,Thaddeus,G.,,Thad,,1965-08-22,M,rep,MI,11,,Republican,2243 Rayburn House Office Building;  20515-2211,M001147,1732,N00013808,,H2MI00037,,400260
Chiesa,Jeffrey,Scott,,,Jeff Chiesa,1965-06-22,M,sen,NJ,,2,Republican,141 HART WASHINGTON DC 20510,C001100,2192,,S368,,64996,412597
Jackson,Jesse,Louis,Jr.,,Jesse L. Jackson Jr.,1965-03-11,M,rep,IL,2,,Democrat,2419 Rayburn HOB; Washington DC 20515-1302,J000283,587,N00012457,,H6IL02124,39073,400198
Fossella,Vito,J.,Jr.,,,1965-03-09,M,rep,NY,13,,Republican,,F000440,1484,N00000983,,H8NY13028,,400139
Sullivan,John,A.,,,John Sullivan,1965-01-01,M,rep,OK,1,,Republican,434 Cannon HOB; Washington DC 20515-3601,S001155,1689,N00013847,,H2OK01093,92716,400392
Sununu,John,E.,,,,1964-09-10,M,sen,NH,,2,Republican,,S001078,1532,N00000397,S296,S0NH00201,,300095
Keller,Ric,,,,,1964-09-05,M,rep,FL,8,,Republican,,K000361,1644,N00009614,,H0FL08042,,400212
Weiner,Anthony,David,,,,1964-09-04,M,rep,NY,9,,Democrat,2104 Rayburn House Office Building;  20515-3209,W000792,1597,N00001110,,H8NY09091,,400426
Gibson,Christopher,P.,,,Christopher P. Gibson,1964-05-13,M,rep,NY,19,,Republican,1708 Longworth HOB; Washington DC 20515-3219,G000564,2043,N00031998,,H0NY20095,1033827,412453
Lee,Christopher,John,,,,1964-04-01,M,rep,NY,26,,Republican,,L000568,1944,N00030198,,H8NY26095,1031304,412291
Ellmers,Renee,L.,,,Renee L. Ellmers,1964-02-09,F,rep,NC,2,,Republican,1210 Longworth HOB; Washington DC 20515-3302,E000291,2036,N00031513,,H0NC02059,1033793,412457
Schilling,Robert,T.,,Bobby,Robert T. Schilling,1964-01-23,M,rep,IL,17,,Republican,507 Cannon HOB; Washington DC 20515-1317,S001182,2016,N00030668,,H0IL17059,,412423
Cazayoux,Donald,J.,Jr.,,,1964-01-17,M,rep,LA,6,,Democrat,,C001073,1891,N00029680,,H8LA06022,,412260
Pompeo,Mike,,,,Mike Pompeo,1963-12-30,M,rep,KS,4,,Republican,2452 Rayburn HOB; Washington DC 20515-1604,P000602,2022,N00030744,,H0KS04051,623387,412431
Garcia,Joe,,,,Joe Garcia,1963-10-19,M,rep,FL,26,,Democrat,1440 Longworth HOB; Washington DC 20515-0926,G000573,2120,N00029908,,"H8FL25015,H2FL26057",623086,412530
Pickering,Charles,W.,Jr.,Chip,,1963-08-10,M,rep,MS,3,,Republican,,P000323,1513,N00003341,,H6MS03046,,400319
Sutton,Betty,,,,Betty Sutton,1963-07-31,F,rep,OH,13,,Democrat,1519 Longworth HOB; Washington DC 20515-3513,S001174,1870,N00027901,,H6OH13133,,412228
Fitzpatrick,Michael,G.,,,Michael G. Fitzpatrick,1963-06-28,M,rep,PA,8,,Republican,2400 Rayburn HOB; Washington DC 20515-3808,F000451,1797,N00027229,,H4PA08074,33378,400646
Cantor,Eric,I.,,,Eric Cantor,1963-06-06,M,rep,VA,7,,Republican,303 Cannon HOB; Washington DC 20515-4607,C001046,1674,N00013131,,H0VA07042,87402,400060
Rogers,Mike,,,,Mike Rogers,1963-06-02,M,rep,MI,8,,Republican,2112 Rayburn HOB; Washington DC 20515-2208,R000572,1651,N00009668,,H0MI08042,86133,400342
Scarborough,Joe,,,,,1963-04-09,M,rep,FL,1,,Republican,,S000106,1025,,,,,400608
Christensen,Jon,Lynn,,,,1963-02-20,M,rep,NE,2,,Republican,,C000377,196,,,,,402516
Graham,Gwen,,,,Gwen Graham,1963-01-31,F,rep,FL,2,,Democrat,1213 Longworth HOB; Washington DC 20515-0902,G000575,2234,N00035688,,H4FL02062,,412620
Pryor,Mark,,,,Mark L. Pryor,1963-01-10,M,sen,AR,,2,Democrat,255 Dirksen Senate Office Building Washington DC 20510,P000590,1701,N00013823,S295,S0AR00028,1002201,300080
Fields,Cleo,,,,,1962-11-22,M,rep,LA,4,,Democrat,,F000110,379,,,,,404067
Flanagan,Michael,P.,,,,1962-11-09,M,rep,IL,5,,Republican,,F000187,389,,,,,404142
Tiberi,Patrick,J.,,Pat,Patrick J. Tiberi,1962-10-21,M,rep,OH,12,,Republican,1203 Longworth HOB; Washington DC 20515-3512,T000462,1664,N00009699,,H0OH12062,88155,400406
Schaffer,Bob,,,,,1962-07-24,M,rep,CO,4,,Republican,,S000112,1524,N00006182,,,,400507
Richardson,Laura,,,,Laura Richardson,1962-04-14,F,rep,CA,37,,Democrat,1330 Longworth HOB; Washington DC 20515-0537,R000581,1883,N00029112,,H8CA37137,1025575,412253
Hart,Melissa,A.,,,,1962-04-04,F,rep,PA,4,,Republican,,H001033,1666,N00009715,,,,400168
Begich,Mark,,,,Mark Begich,1962-03-30,M,sen,AK,,2,Democrat,111 Russell Senate Office Building Washington DC 20510,B001265,1898,N00029901,S319,S8AK00090,1030732,412326
Platts,Todd,R.,,,Todd Russell Platts,1962-03-05,M,rep,PA,19,,Republican,2455 Rayburn HOB; Washington DC 20515-3819,P000585,1667,N00009719,,H0PA19053,87190,400321
Chocola,Chris,,,,,1962-02-24,M,rep,IN,2,,Republican,,C001052,1726,N00012586,,,,400072
Acevedo-Vilá,Aníbal,,,,,1962-02-13,M,rep,PR,0,,Popular Democrat,,A000359,1679,N00009825,,,,400002
Terry,Lee,R.,,,Lee Terry,1962-01-29,M,rep,NE,2,,Republican,2266 Rayburn HOB; Washington DC 20515-2702,T000459,1566,N00005321,,H8NE02139,57891,400400
Bean,Melissa,L.,,,,1962-01-22,F,rep,IL,8,,Democrat,,B001253,1782,N00024875,,H2IL08088,,400631
Critz,Mark,S.,,,Mark S. Critz,1962-01-05,M,rep,PA,12,,Democrat,1022 Longworth HOB; Washington DC 20515-3812,C001081,1977,N00032014,,H0PA12132,9267898,412386
Walsh,Joe,,,,Joe Walsh,1961-12-27,M,rep,IL,8,,Republican,432 Cannon HOB; Washington DC 20515-1308,W000811,2012,N00004723,,H0IL08090,,412424
Farenthold,Blake,,,,Blake Farenthold,1961-12-12,M,rep,TX,27,,Republican,2331 Rayburn House Office Building; Washington DC 20515-4327,F000460,2067,N00031672,,H0TX27061,95180,412482
Gallego,Pete,P.,,,Pete P. Gallego,1961-12-02,M,rep,TX,23,,Democrat,431 Cannon HOB; Washington DC 20515-4323,G000572,2164,N00033541,,H2TX23124,79696,412577
Zinke,Ryan,,,,Ryan K. Zinke,1961-11-01,M,rep,MT,0,,Republican,1419 Longworth HOB; Washington DC 20515-2600,Z000018,2254,N00035616,,H4MT01041,,412640
Heck,Joseph,J.,,,Joseph J. Heck,1961-10-30,M,rep,NV,3,,Republican,132 Cannon HOB; Washington DC 20515-2803,H001055,2040,N00031244,,H0NV03058,62662,412446
Bono Mack,Mary,Whitaker,,,Mary Bono Mack,1961-10-24,F,rep,CA,45,,Republican,104 Cannon HOB; Washington DC 20515-0545,B001228,1465,N00007068,,H8CA44034,,400039
Schauer,Mark,H.,,,,1961-10-02,M,rep,MI,7,,Democrat,,S001178,1928,N00029327,,H8MI07096,90358,412313
Obama,Barack,,,,,1961-08-04,M,sen,IL,,3,Democrat,,O000167,1763,N00009638,S298,S4IL00180,,400629
Ross,Mike,,,,Mike Ross,1961-08-02,M,rep,AR,4,,Democrat,2436 Rayburn HOB; Washington DC 20515-0404,R000573,1632,N00009571,,H0AR04038,86491,400345
Hostettler,John,Nathan,,,,1961-06-19,M,rep,IN,8,,Republican,,H000807,562,N00003897,,,,400187
Vitter,David,,,,David Vitter,1961-05-03,M,sen,LA,,3,Republican,516 Hart Senate Office Building Washington DC 20510,V000127,1609,N00009659,S299,"S4LA00057,H0LA01079",60672,400418
Barrett,James,Gresham,,J. Gresham,,1961-02-14,M,rep,SC,3,,Republican,,B001239,1745,N00013837,,H2SC03057,1003613,400016
West,Allen,,,,Allen B. West,1961-02-07,M,rep,FL,22,,Republican,1708 Longworth HOB; Washington DC 20515-0922,W000807,2005,N00029131,,H8FL22038,,412413
Space,Zachary,T.,,Zack,,1961-01-27,M,rep,OH,18,,Democrat,,S001173,1871,N00027902,,H6OH18157,1022842,412229
Pombo,Richard,W.,,,,1961-01-08,M,rep,CA,11,,Republican,,P000419,921,N00007516,,,,400322
Wexler,Robert,,,,,1961-01-02,M,rep,FL,19,,Democrat,,W000314,1537,N00002905,,H6FL19038,,400430
Wilson,Heather,A.,,,,1960-12-30,F,rep,NM,1,,Republican,,W000789,1539,N00006546,,H8NM01174,,400434
Pappas,Michael,James,,,,1960-12-29,M,rep,NJ,12,,Republican,,P000049,1509,,,,,408459
Walsh,John,E.,,,John E. Walsh,1960-11-03,M,sen,MT,,2,Democrat,511 Hart Senate Office Building Washington DC 20510,W000818,2198,N00035686,S371,S4MT00118,73846,412602
Fortuño,Luis,G.,,,,1960-10-31,M,rep,PR,0,,Republican,,F000452,1800,N00026264,,H4PR00079,,400662
Fitzgerald,Peter,G.,,,,1960-10-20,M,sen,IL,,3,Republican,,F000442,1571,N00004690,S268,,,300044
Lincoln,Blanche,Lambert,,,,1960-09-30,F,sen,AR,,3,Democrat,,L000035,1570,N00008092,S269,"S8AR00112,H2AR01022",26202,300068
Jenkins,Evan,,,,Evan H. Jenkins,1960-09-12,M,rep,WV,3,,Republican,1609 Longworth House Office Building; Washington DC 20515-4803,J000297,2278,N00035531,,H4WV03070,76592,412663
Nussle,James,Allen,,Jim,,1960-06-27,M,rep,IA,1,,Republican,,N000172,871,N00004255,,,,400298
Green,Mark,A.,,,,1960-06-01,M,rep,WI,8,,Republican,,G000545,1559,N00004391,,,,400159
