CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID
H4LA05221,"ABRAHAM, RALPH LEE",LA,ABRAHAM,RALPH,LEE,A000374,0,0
H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",LA,ABRAHAM,RALPH,LEE DR. JR.,A000374,0,0
H4NC12100,"ADAMS, ALMA SHEALEY",NC,ADAMS,ALMA,SHEALEY,A000370,2201,1
H6AL04098,"ADERHOLT, ROBERT",AL,ADERHOLT,ROBERT,,A000055,1460,2
H6AL04098,"ADERHOLT, ROBERT B",AL,ADERHOLT,ROBERT,B,A000055,1460,2
H6AL04098,"ADERHOLT, ROBERT B.",AL,ADERHOLT,ROBERT,B.,A000055,1460,2
H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,ADERHOLT,ROBERT,B. REP.,A000055,1460,2
H6AL04098,"ADERHOLT, ROBERT BROWN",AL,ADERHOLT,ROBERT,BROWN,A000055,1460,2
H2CA31125,"AGUILAR, PETE",CA,AGUILAR,PETE,,A000371,0,3
S2TN00058,"ALEXANDER, LAMAR",TN,ALEXANDER,LAMAR,,A000360,1695,4
H0GA02241,"ALLEN, RICK",GA,ALLEN,RICK,,A000372,0,5
H0MI03126,"AMASH, JUSTIN",MI,AMASH,JUSTIN,,A000367,2029,6
H2NV02395,"AMODEI, MARK EUGENE",NV,AMODEI,MARK,EUGENE,A000369,2090,7
S0NV00237,"AMODEI, MARK EUGENE",NV,AMODEI,MARK,EUGENE,A000369,2090,7
H4NE02054,"ASHFORD, BRAD",NE,ASHFORD,BRAD,,A000373,0,8
H4NE02054,"ASHFORD, JOHN BRAD",NE,ASHFORD,JOHN,BRAD,A000373,0,8
S0NH00235,"AYOTTE, KELLY A",NH,AYOTTE,KELLY,A,A000368,2075,9
H6TX02079,"BABIN, BRIAN",TX,BABIN,BRIAN,,B001291,0,10
H8WI00018,"BALDWIN, TAMMY",WI,BALDWIN,TAMMY,,B001230,1558,11
S2WI00219,"BALDWIN, TAMMY",WI,BALDWIN,TAMMY,,B001230,1558,11
H2PA11098,"BARLETTA, LOU",PA,BARLETTA,LOU,,B001269,2054,12
H2PA11098,"BARLETTA, LOUIS",PA,BARLETTA,LOUIS,,B001269,2054,12
H2PA11098,"BARLETTA, LOUIS J",PA,BARLETTA,LOUIS,J,B001269,2054,12
H0KY06104,"BARR, GARLAND ''ANDY''",KY,BARR,GARLAND,''ANDY'',B001282,2131,13
H0KY06104,"BARR, GARLAND ANDY",KY,BARR,GARLAND,ANDY,B001282,2131,13
S6WY00068,"BARRASSO, JOHN",WY,BARRASSO,JOHN,,B001261,1881,14
S6WY00068,"BARRASSO, JOHN A",WY,BARRASSO,JOHN,A,B001261,1881,14
H2TX31028,"BARTON, BRADLEY LINUS",TX,BARTON,BRADLEY,LINUS,B000213,62,15
H4TX06117,"BARTON, JOE CONGRESSMAN",TX,BARTON,JOE,CONGRESSMAN,B000213,62,15
H4TX06117,"BARTON, JOE L",TX,BARTON,JOE,L,B000213,62,15
H4TX06117,"BARTON, JOE LINUS",TX,BARTON,JOE,LINUS,B000213,62,15
S4TX00094,"BARTON, JOE L",TX,BARTON,JOE,L,B000213,62,15
S4TX00094,"BARTON, JOE LINUS",TX,BARTON,JOE,LINUS,B000213,62,15
H4TX06117,"BARTON, JOSEPH LINUS",TX,BARTON,JOSEPH,LINUS,B000213,62,15
H0CA33117,"BASS, KAREN",CA,BASS,KAREN,,B001270,1996,16
H2OH03125,"BEATTY, JOYCE",OH,BEATTY,JOYCE,,B001281,2153,17
H2CA30143,"BECERRA, XAVIER",CA,BECERRA,XAVIER,,B000287,70,18
H0MI01088,"BENISHEK, DANIEL J",MI,BENISHEK,DANIEL,J,B001271,2027,19
H0MI01088,"BENISHEK, DANIEL J.",MI,BENISHEK,DANIEL,J.,B001271,2027,19
H0MI01088,"BENISHEK, DANIEL J. M.D.",MI,BENISHEK,DANIEL,J. M.D.,B001271,2027,19
S0CO00211,"BENNET, MICHAEL F",CO,BENNET,MICHAEL,F,B001267,1965,20
H0CA03078,"BERA, AMERISH",CA,BERA,AMERISH,,B001287,2102,21
H4VA08224,"BEYER, DONALD STERNOFF JR",VA,BEYER,DONALD,STERNOFF JR,B001292,0,22
H4VA08224,"BEYER, DONALD STERNOFF JR.",VA,BEYER,DONALD,STERNOFF JR.,B001292,0,22
H6FL09070,"BILIRAKIS, GUS M",FL,BILIRAKIS,GUS,M,B001257,1838,23
H6FL09070,"BILIRAKIS, GUS MICHAEL",FL,BILIRAKIS,GUS,MICHAEL,B001257,1838,23
H4MI08135,"BISHOP, MIKE",MI,BISHOP,MIKE,,B001293,0,24
H2UT01094,"BISHOP, ROBERT",UT,BISHOP,ROBERT,,B001250,1753,25
H2UT01094,"BISHOP, ROBERT WILLIAM",UT,BISHOP,ROBERT,WILLIAM,B001250,1753,25
H2GA02031,"BISHOP, SANFORD D JR",GA,BISHOP,SANFORD,D JR,B000490,91,26
H2GA02031,"BISHOP, SANFORD D JR.",GA,BISHOP,SANFORD,D JR.,B000490,91,26
