CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID,Party,Party_encode
H4LA05221,"ABRAHAM, RALPH LEE",LA,ABRAHAM,RALPH,LEE,A000374,,0,,
H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",LA,ABRAHAM,RALPH,LEE DR. JR.,A000374,,0,,
H0NC07082,"ADAMS, JAMES R.",NC,ADAMS,JAMES,R.,A000370,2201,1,,
H4NC06078,"ADAMS, DANIELLE",NC,ADAMS,DANIELLE,,A000370,2201,1,,
H4NC12100,"ADAMS, ALMA SHEALEY",NC,ADAMS,ALMA,SHEALEY,A000370,2201,1,,
H6AL04098,"ADERHOLT, ROBERT",AL,ADERHOLT,ROBERT,,A000055,1460,2,,
H6AL04098,"ADERHOLT, ROBERT B",AL,ADERHOLT,ROBERT,B,A000055,1460,2,,
H6AL04098,"ADERHOLT, ROBERT B.",AL,ADERHOLT,ROBERT,B.,A000055,1460,2,,
H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,ADERHOLT,ROBERT,B. REP.,A000055,1460,2,,
H6AL04098,"ADERHOLT, ROBERT BROWN",AL,ADERHOLT,ROBERT,BROWN,A000055,1460,2,,
H2CA31125,"AGUILAR, PETE",CA,AGUILAR,PETE,,A000371,,3,,
S2TN00058,"ALEXANDER, LAMAR",TN,ALEXANDER,LAMAR,,A000360,1695,4,,
H0GA02241,"ALLEN, RICK",GA,ALLEN,RICK,,A000372,,5,,
H2GA12048,"ALLEN, BENJAMIN",GA,ALLEN,BENJAMIN,,A000372,,5,,
H2GA12121,"ALLEN, RICHARD W",GA,ALLEN,RICHARD,W,A000372,,5,,
H0MI03126,"AMASH, JUSTIN",MI,AMASH,JUSTIN,,A000367,2029,6,,
H2NV02395,"AMODEI, MARK EUGENE",NV,AMODEI,MARK,EUGENE,A000369,2090,7,,
S0NV00237,"AMODEI, MARK EUGENE",NV,AMODEI,MARK,EUGENE,A000369,2090,7,,
H4NE02054,"ASHFORD, BRAD",NE,ASHFORD,BRAD,,A000373,,8,Democrat,1
H4NE02054,"ASHFORD, JOHN BRAD",NE,ASHFORD,JOHN,BRAD,A000373,,8,Democrat,1
S0NH00235,"AYOTTE, KELLY A",NH,AYOTTE,KELLY,A,A000368,2075,9,Republican,-1
H6TX02079,"BABIN, BRIAN",TX,BABIN,BRIAN,,B001291,,10,,
H8WI00018,"BALDWIN, TAMMY",WI,BALDWIN,TAMMY,,B001230,1558,11,,
S2WI00219,"BALDWIN, TAMMY",WI,BALDWIN,TAMMY,,B001230,1558,11,,
H2PA11098,"BARLETTA, LOU",PA,BARLETTA,LOU,,B001269,2054,12,,
H2PA11098,"BARLETTA, LOUIS",PA,BARLETTA,LOUIS,,B001269,2054,12,,
H2PA11098,"BARLETTA, LOUIS J",PA,BARLETTA,LOUIS,J,B001269,2054,12,,
H0KY06104,"BARR, GARLAND ''ANDY''",KY,BARR,GARLAND,''ANDY'',B001282,2131,13,,
H0KY06104,"BARR, GARLAND ANDY",KY,BARR,GARLAND,ANDY,B001282,2131,13,,
S6WY00068,"BARRASSO, JOHN",WY,BARRASSO,JOHN,,B001261,1881,14,,
S6WY00068,"BARRASSO, JOHN A",WY,BARRASSO,JOHN,A,B001261,1881,14,,
H2TX31028,"BARTON, BRADLEY LINUS",TX,BARTON,BRADLEY,LINUS,B000213,62,15,,
H4TX06117,"BARTON, JOE CONGRESSMAN",TX,BARTON,JOE,CONGRESSMAN,B000213,62,15,,
H4TX06117,"BARTON, JOE L",TX,BARTON,JOE,L,B000213,62,15,,
H4TX06117,"BARTON, JOE LINUS",TX,BARTON,JOE,LINUS,B000213,62,15,,
H4TX06117,"BARTON, JOSEPH LINUS",TX,BARTON,JOSEPH,LINUS,B000213,62,15,,
S4TX00094,"BARTON, JOE L",TX,BARTON,JOE,L,B000213,62,15,,
S4TX00094,"BARTON, JOE LINUS",TX,BARTON,JOE,LINUS,B000213,62,15,,
