NodeID,CAM_YEAR,state_y,CAND_PTY_AFFILIATION
971,1982,AS,IND
1776,1982,AS,DEM
780,1982,CA,REP
1639,1982,CA,REP
1293,1982,CA,DEM
477,1982,CA,DEM
984,1982,CA,REP
928,1982,CA,DEM
624,1982,CA,DEM
1336,1982,CA,REP
711,1982,CO,REP
1037,1982,CT,DEM
882,1982,CT,REP
1393,1982,FL,REP
1697,1982,FL,REP
1119,1982,GA,DEM
961,1982,IA,REP
842,1982,ID,REP
1854,1982,IL,DEM
1662,1982,IL,DEM
1369,1982,IL,REP
1145,1982,IN,REP
86,1982,IN,REP
415,1982,KS,REP
418,1982,KY,REP
1794,1982,LA,DEM
1165,1982,LA,REP
1016,1982,MA,DEM
643,1982,MD,REP
1465,1982,MD,REP
924,1982,MI,REP
850,1982,MI,DEM
1143,1982,MI,DEM
1863,1982,MN,REP
599,1982,MO,REP
946,1982,MO,REP
1222,1982,NC,REP
1138,1982,NC,REP
911,1982,ND,DEM
1719,1982,NH,REP
622,1982,NH,REP
1077,1982,NH,REP
377,1982,NJ,DEM
927,1982,NJ,DEM
1602,1982,NM,DEM
1713,1982,NM,REP
1403,1982,NY,REP
1301,1982,NY,REP
452,1982,NY,DEM
1453,1982,NY,REP
1367,1982,NY,REP
1400,1982,OH,REP
1862,1982,OH,REP
1694,1982,OH,DEM
933,1982,OH,DEM
1397,1982,OK,DEM
1720,1982,OR,REP
540,1982,OR,DEM
1000,1982,PA,DEM
840,1982,PA,REP
1112,1982,PA,DEM
1482,1982,PA,DEM
1232,1982,PA,DEM
1492,1982,PA,REP
1463,1982,PA,DEM
841,1982,PA,DEM
1404,1982,PA,DEM
1116,1982,SC,REP
1487,1982,SC,REP
1614,1982,SD,REP
1094,1982,TX,DEM
986,1982,TX,REP
1535,1982,TX,DEM
572,1982,TX,DEM
1105,1982,UT,REP
666,1982,VA,REP
1532,1982,VA,REP
1468,1982,WA,REP
1086,1982,WI,REP
1555,1982,WI,REP
1187,1982,WV,DEM
955,1982,AL,DEM
318,1982,AZ,REP
1269,1982,AZ,REP
1418,1982,AZ,DEM
686,1982,CA,DEM
40,1982,CA,DEM
1916,1982,CA,REP
1309,1982,CA,DEM
649,1982,CA,DEM
1314,1982,CA,DEM
1370,1982,CA,DEM
59,1982,CA,REP
1386,1982,CA,REP
